date,symbol,open,high,low,close,volume,dividends,stock_splits
2014-04-15,PAYC,17.9,17.92,15.15,15.35,3531700,0,0
2014-04-16,PAYC,15.35,16.09,15.21,15.62,266500,0,0
2014-04-17,PAYC,15.95,16.55,15.71,16.25,262100,0,0
2014-04-21,PAYC,16.59,16.59,16.01,16.1,78000,0,0
2014-04-22,PAYC,16.2,16.689,15.76,15.98,96100,0,0
2014-04-23,PAYC,15.82,16.18,15.8,16.07,56500,0,0
2014-04-24,PAYC,16.28,16.3,15.75,15.75,42800,0,0
2014-04-25,PAYC,15.75,15.75,15.25,15.3,71600,0,0
2014-04-28,PAYC,15.43,15.66,14.51,14.97,197500,0,0
2014-04-29,PAYC,15.01,15.45,15.01,15.28,68500,0,0
2014-04-30,PAYC,15.17,15.51,15.06,15.41,53600,0,0
2014-05-01,PAYC,15.29,15.9,15.29,15.67,39900,0,0
2014-05-02,PAYC,15.69,16.056,15.69,15.8,22300,0,0
2014-05-05,PAYC,15.69,15.99,15.678,15.68,13300,0,0
2014-05-06,PAYC,15.63,15.63,15.25,15.31,31900,0,0
2014-05-07,PAYC,15.26,15.29,14.95,15.05,92600,0,0
2014-05-08,PAYC,15.25,15.328,15.18,15.18,18600,0,0
2014-05-09,PAYC,15.12,15.17,14.12,14.51,76000,0,0
2014-05-12,PAYC,14.73,14.87,14.09,14.09,111200,0,0
2014-05-13,PAYC,14.57,14.872,13.675,13.87,90800,0,0
2014-05-14,PAYC,14.15,14.29,13.91,14.07,105600,0,0
2014-05-15,PAYC,14.0,14.31,13.61,14.29,110100,0,0
2014-05-16,PAYC,14.29,14.68,13.57,13.81,119700,0,0
2014-05-19,PAYC,13.85,13.85,13.1,13.24,202500,0,0
2014-05-20,PAYC,13.5,14.3,13.37,14.0,141100,0,0
2014-05-21,PAYC,14.25,14.25,13.87,14.0,47400,0,0
2014-05-22,PAYC,13.91,15.61,13.845,15.38,85300,0,0
2014-05-23,PAYC,15.35,15.35,14.31,14.53,352700,0,0
2014-05-27,PAYC,14.57,14.81,13.76,14.03,68100,0,0
2014-05-28,PAYC,14.08,14.08,13.12,13.25,244000,0,0
2014-05-29,PAYC,13.45,13.82,13.43,13.48,64600,0,0
2014-05-30,PAYC,13.41,13.525,13.24,13.35,76100,0,0
2014-06-02,PAYC,13.49,13.83,13.175,13.54,47600,0,0
2014-06-03,PAYC,13.74,14.11,13.43,14.03,84800,0,0
2014-06-04,PAYC,14.0,14.443,13.59,14.3,73700,0,0
2014-06-05,PAYC,13.01,14.43,13.01,14.17,67600,0,0
2014-06-06,PAYC,14.33,14.5,13.89,14.45,42500,0,0
2014-06-09,PAYC,14.45,14.675,14.19,14.64,104500,0,0
2014-06-10,PAYC,14.65,14.67,14.35,14.43,59700,0,0
2014-06-11,PAYC,14.35,14.54,14.25,14.46,24900,0,0
2014-06-12,PAYC,14.46,14.47,13.913,13.97,120500,0,0
2014-06-13,PAYC,14.07,14.07,13.4,14.0,65100,0,0
2014-06-16,PAYC,14.57,14.61,14.246,14.44,106800,0,0
2014-06-17,PAYC,14.34,14.376,13.45,14.0,98200,0,0
2014-06-18,PAYC,13.79,14.39,13.72,14.17,78400,0,0
2014-06-19,PAYC,14.13,14.3,14.12,14.29,55100,0,0
2014-06-20,PAYC,14.36,14.71,14.12,14.12,186900,0,0
2014-06-23,PAYC,14.2,14.65,14.09,14.64,58600,0,0
2014-06-24,PAYC,14.56,15.0,14.5,14.7,130300,0,0
2014-06-25,PAYC,14.65,14.74,14.17,14.72,59200,0,0
2014-06-26,PAYC,14.68,15.16,14.56,14.72,91900,0,0
2014-06-27,PAYC,14.84,15.22,13.98,13.98,767300,0,0
2014-06-30,PAYC,14.27,14.66,13.91,14.59,169500,0,0
2014-07-01,PAYC,14.62,14.737,14.16,14.6,56100,0,0
2014-07-02,PAYC,14.54,14.57,14.2,14.25,52400,0,0
2014-07-03,PAYC,14.27,14.72,14.27,14.68,23300,0,0
2014-07-07,PAYC,14.55,14.665,14.01,14.02,65800,0,0
2014-07-08,PAYC,14.0,14.13,13.38,13.43,113900,0,0
2014-07-09,PAYC,13.44,13.609,13.28,13.42,53600,0,0
2014-07-10,PAYC,13.25,13.44,13.25,13.3,83600,0,0
2014-07-11,PAYC,13.25,13.33,13.02,13.03,62700,0,0
2014-07-14,PAYC,13.05,13.75,13.02,13.29,130100,0,0
2014-07-15,PAYC,13.23,13.25,12.64,12.97,87000,0,0
2014-07-16,PAYC,13.0,13.055,12.8,12.85,91300,0,0
2014-07-17,PAYC,12.79,13.04,12.32,12.41,79200,0,0
2014-07-18,PAYC,12.34,12.62,12.282,12.48,24100,0,0
2014-07-21,PAYC,12.45,12.87,12.28,12.78,37800,0,0
2014-07-22,PAYC,12.87,12.87,12.55,12.62,19900,0,0
2014-07-23,PAYC,12.69,12.98,12.593,12.84,17700,0,0
2014-07-24,PAYC,12.92,13.12,12.92,13.0,95700,0,0
2014-07-25,PAYC,13.23,13.46,12.91,13.0,142500,0,0
2014-07-28,PAYC,12.95,13.04,12.75,12.96,54000,0,0
2014-07-29,PAYC,13.06,13.094,12.79,12.88,34700,0,0
2014-07-30,PAYC,13.096,13.096,12.839,13.0,56500,0,0
2014-07-31,PAYC,12.91,13.002,12.65,12.78,41600,0,0
2014-08-01,PAYC,12.84,12.902,12.35,12.65,61400,0,0
2014-08-04,PAYC,12.77,12.77,12.5,12.69,48900,0,0
2014-08-05,PAYC,12.61,12.65,12.48,12.49,54100,0,0
2014-08-06,PAYC,13.07,14.08,12.9,13.83,208300,0,0
2014-08-07,PAYC,13.94,14.02,13.75,13.82,54000,0,0
2014-08-08,PAYC,13.86,13.966,13.26,13.58,114200,0,0
2014-08-11,PAYC,13.7,13.92,13.65,13.91,41400,0,0
2014-08-12,PAYC,13.831,13.98,13.81,13.89,40900,0,0
2014-08-13,PAYC,13.98,14.78,13.92,14.75,378500,0,0
2014-08-14,PAYC,14.83,15.66,14.83,15.26,135400,0,0
2014-08-15,PAYC,15.46,17.08,15.26,16.84,133400,0,0
2014-08-18,PAYC,17.0,17.0,16.06,16.45,191200,0,0
2014-08-19,PAYC,16.5,16.5,16.12,16.19,47800,0,0
2014-08-20,PAYC,16.11,16.33,15.42,15.77,105300,0,0
2014-08-21,PAYC,15.68,16.65,15.51,16.54,64100,0,0
2014-08-22,PAYC,16.59,17.69,16.37,17.45,451400,0,0
2014-08-25,PAYC,17.55,17.55,16.84,17.25,74200,0,0
2014-08-26,PAYC,17.26,18.06,17.16,18.05,158200,0,0
2014-08-27,PAYC,18.34,18.34,17.79,17.98,97500,0,0
2014-08-28,PAYC,17.87,18.02,17.53,17.88,49500,0,0
2014-08-29,PAYC,17.86,18.1,17.61,17.92,84100,0,0
2014-09-02,PAYC,18.14,18.32,17.93,18.08,135900,0,0
2014-09-03,PAYC,18.22,18.22,17.11,17.35,451700,0,0
2014-09-04,PAYC,17.5,17.57,16.21,16.65,335700,0,0
2014-09-05,PAYC,16.48,16.58,16.04,16.43,118800,0,0
2014-09-08,PAYC,16.38,16.58,15.99,16.39,134000,0,0
2014-09-09,PAYC,16.39,16.39,15.81,16.11,147300,0,0
2014-09-10,PAYC,16.16,16.45,15.86,16.36,85500,0,0
2014-09-11,PAYC,16.22,17.032,16.06,16.7,174600,0,0
2014-09-12,PAYC,16.8,18.03,16.8,17.74,278600,0,0
2014-09-15,PAYC,17.83,17.92,16.5,17.16,196000,0,0
2014-09-16,PAYC,17.16,18.13,16.85,17.89,252500,0,0
2014-09-17,PAYC,17.98,18.04,17.53,17.73,95200,0,0
2014-09-18,PAYC,17.8,18.19,17.03,18.05,188800,0,0
2014-09-19,PAYC,18.08,19.238,17.46,18.99,561600,0,0
2014-09-22,PAYC,18.85,19.143,17.54,18.28,398800,0,0
2014-09-23,PAYC,18.29,18.77,17.9,18.3,307900,0,0
2014-09-24,PAYC,18.5,18.59,17.67,18.42,187200,0,0
2014-09-25,PAYC,18.31,18.31,16.82,16.99,109500,0,0
2014-09-26,PAYC,17.0,17.51,17.0,17.22,68900,0,0
2014-09-29,PAYC,17.1,17.22,16.8,16.91,150400,0,0
2014-09-30,PAYC,16.95,17.03,16.31,16.56,188700,0,0
2014-10-01,PAYC,16.21,16.62,16.0,16.1,149200,0,0
2014-10-02,PAYC,16.02,16.331,15.74,16.3,140900,0,0
2014-10-03,PAYC,16.48,16.83,16.4,16.57,91600,0,0
2014-10-06,PAYC,16.63,16.64,16.01,16.15,62600,0,0
2014-10-07,PAYC,16.0,16.11,15.47,15.76,171600,0,0
2014-10-08,PAYC,15.7,15.93,15.589,15.68,112400,0,0
2014-10-09,PAYC,15.64,15.68,14.32,14.88,238400,0,0
2014-10-10,PAYC,14.75,15.59,14.68,14.88,194500,0,0
2014-10-13,PAYC,14.95,15.215,14.79,14.98,283900,0,0
2014-10-14,PAYC,15.08,15.4,14.87,15.04,216400,0,0
2014-10-15,PAYC,15.05,16.35,14.85,16.26,258200,0,0
2014-10-16,PAYC,16.05,16.79,16.0,16.76,100600,0,0
2014-10-17,PAYC,17.02,17.02,16.39,16.43,48600,0,0
2014-10-20,PAYC,16.33,16.44,16.17,16.34,37100,0,0
2014-10-21,PAYC,16.22,16.82,16.22,16.67,118400,0,0
2014-10-22,PAYC,16.67,16.735,16.38,16.48,71400,0,0
2014-10-23,PAYC,16.55,16.89,16.38,16.53,68700,0,0
2014-10-24,PAYC,16.6,16.65,16.32,16.51,39600,0,0
2014-10-27,PAYC,16.47,16.8,16.34,16.57,46900,0,0
